sym	enstxids	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
PEMT	ENST00000255389	16.86	16.08	15.43	16.36	11.65	14.91	10.23	27.64	18.97	23.31	10.64	19.76
PER3	ENST00000377532	6.39	4.68	5.33	2.78	1.0	3.0	1.49	1.84	2.22	2.44	1.0	1.49
PERP	ENST00000421351	71.25	97.61	95.35	79.49	188.97	31.7	167.81	210.82	216.78	169.39	484.27	46.5
PFAS	ENST00000314666	18.12	9.38	9.15	17.59	3.61	15.5	29.44	19.53	24.84	41.46	5.91	27.96
PFDN1	ENST00000261813	66.17	46.7	56.5	69.12	69.73	50.52	223.18	126.22	166.52	92.53	130.76	147.97
PFDN2	ENST00000368010	90.9	72.41	79.17	148.92	142.71	119.93	324.5	197.82	183.55	310.28	263.24	273.98
PFDN4	ENST00000441080	40.0	24.93	36.06	50.61	34.6	34.71	71.51	50.64	25.71	37.87	60.5	60.79
PFKFB3	ENST00000540253	29.65	20.53	35.86	30.86	14.0	57.23	30.71	18.77	47.82	31.29	15.49	53.81
PFKFB4	ENST00000232375	5.97	4.19	15.21	6.51	6.6	8.03	6.57	3.92	15.84	5.82	2.59	2.21
PFKP	ENST00000381125	172.08	106.21	121.92	158.04	29.98	82.93	225.52	105.56	158.42	183.09	35.0	91.21
PFN2	ENST00000423691	127.98	93.05	134.44	137.58	174.59	104.62	306.2	162.49	212.36	177.41	176.48	145.99
PGCP	ENST00000220763	7.19	14.07	15.06	6.31	11.06	8.8	23.23	26.87	36.76	21.35	26.34	17.55
PGP	ENST00000333503	16.22	8.65	14.52	16.1	9.72	16.38	24.65	16.27	20.9	29.11	9.0	14.05
PGPEP1	ENST00000269919	6.57	7.37	14.11	9.44	17.19	4.98	17.17	18.94	29.43	31.88	33.81	8.49
PGS1	ENST00000262764	12.34	10.71	12.92	14.24	17.67	25.6	12.84	6.79	9.07	17.13	11.81	12.47
PHACTR4	ENST00000373836	11.07	8.38	7.5	8.28	4.74	7.53	6.02	9.59	6.66	10.64	7.8	5.56
PHAX	ENST00000297540	17.75	16.19	13.67	18.78	16.35	17.43	57.11	53.18	33.09	26.55	41.23	47.22
PHF19	ENST00000373896	26.8	17.35	13.6	13.87	2.94	20.26	32.31	13.36	13.18	8.84	2.0	17.31
PHF5A	ENST00000216252	40.9	26.3	30.59	45.86	25.26	34.0	77.25	117.14	70.62	52.27	45.95	130.64
PHGDH	ENST00000369409	155.72	47.49	225.24	88.3	14.78	43.86	289.49	86.67	465.48	102.18	17.09	76.93
PHIP	ENST00000275034	13.1	9.38	12.42	10.84	6.02	5.44	13.44	11.85	11.38	11.24	8.83	20.88
PHLDA1	ENST00000266671	70.7	34.41	107.9	189.11	89.38	138.66	170.55	100.05	290.18	449.39	162.84	309.57
PHLDA2	ENST00000314222	84.1	91.04	115.82	132.12	223.18	136.21	218.48	326.29	406.17	329.65	339.03	362.6
PHPT1	ENST00000247665	46.91	60.49	54.01	44.03	75.33	50.77	50.26	124.75	72.92	40.3	80.04	66.31
PHTF2	ENST00000248550	13.74	23.62	11.5	12.35	21.61	16.26	6.76	19.32	7.81	7.38	43.06	18.99
PHYH	ENST00000263038	12.5	11.33	19.18	19.39	20.81	12.94	15.54	16.17	17.86	9.71	24.45	10.6
PID1	ENST00000542363	13.97	10.41	24.33	13.24	8.64	26.5	21.71	12.76	24.03	10.89	7.85	26.93
PIGN	ENST00000357637	9.87	13.38	10.39	7.84	12.65	8.53	6.36	7.39	4.89	3.77	15.42	6.82
PIGZ	ENST00000412723	3.39	2.43	7.06	1.62	4.59	3.88	1.19	1.51	4.83	2.21	3.65	1.56
PIH1D1	ENST00000262265	31.57	27.12	28.84	27.36	21.02	32.06	44.03	26.84	38.58	26.84	14.14	20.39
PIK3CD	ENST00000536656	9.09	9.09	7.71	8.11	9.51	34.37	3.53	3.81	5.09	3.5	3.33	13.89
PIM1	ENST00000373509	3.58	2.22	2.19	1.1	1.0	1.35	7.29	3.86	6.39	1.0	1.29	1.19
PION	ENST00000257626	1.86	2.29	3.55	3.54	2.75	5.31	1.0	1.0	1.04	2.09	1.05	1.59
PIP4K2A	ENST00000376573	19.27	21.03	28.58	23.88	11.84	15.96	14.12	15.26	12.24	17.55	8.4	14.84
PIP4K2C	ENST00000354947	14.93	19.71	17.86	17.29	58.19	10.92	18.57	22.88	19.87	22.08	90.78	17.53
PITPNC1	ENST00000335257	10.35	7.69	14.48	24.55	9.73	8.04	8.81	3.79	8.37	11.23	4.79	6.47
PITX1	ENST00000265340	16.02	7.68	30.34	15.67	12.92	59.06	3.85	2.93	14.47	5.49	2.94	8.95
PKD1	ENST00000262304	33.0	21.32	29.14	17.8	15.5	20.29	2.46	1.98	5.02	4.5	2.37	1.69
PKD2	ENST00000237596	15.36	46.14	21.87	11.24	25.21	17.38	16.1	34.7	30.15	18.19	33.67	18.67
PKIG	ENST00000372889	22.28	44.39	56.49	21.47	36.84	55.32	3.11	20.16	22.76	13.77	5.65	27.65
PKMYT1	ENST00000431515	34.61	20.48	10.87	19.68	1.0	18.59	39.5	15.26	19.72	27.16	1.0	12.86
PKN3	ENST00000291906	4.46	3.87	2.11	1.63	1.0	2.45	3.23	1.2	1.33	1.0	1.0	1.02
PKP4	ENST00000389759	29.99	20.87	15.6	13.77	9.36	10.42	7.21	3.46	2.62	1.87	1.92	1.56
PLA2G12A	ENST00000243501	7.45	10.79	6.47	9.26	30.05	7.09	1.42	5.87	2.91	1.18	28.22	7.42
PLAT	ENST00000220809	97.4	209.99	257.02	110.8	449.02	499.0	253.01	576.5	794.58	378.46	1817.06	1425.35
PLAU	ENST00000372764	110.52	70.29	161.63	332.48	258.95	1564.37	169.43	121.4	276.09	601.84	665.1	2563.0
PLAUR	ENST00000340093	81.08	64.91	111.9	135.79	66.52	112.07	244.53	149.59	370.3	419.77	193.19	263.15
PLCD1	ENST00000463876	1.63	5.27	4.35	1.06	2.5	2.75	2.19	5.43	4.12	1.79	1.94	2.46
PLCXD1	ENST00000381657	6.56	5.08	3.9	6.98	11.04	5.58	9.74	10.93	11.81	16.36	20.48	7.15
PLCXD2	ENST00000477665	1.97	1.66	1.25	2.88	9.34	1.93	1.0	1.43	1.5	1.0	7.86	2.17
PLCXD3	ENST00000377801	1.37	3.64	4.48	1.0	1.0	1.0	1.57	8.59	7.58	2.77	1.35	1.0
